,Project data,Removed Punctuations,No Numbers,Tokens,No stopwords,No Frequent or Rare words,With spell check,Stemmitized Words,Lemmatized
10,"Inconsitent naming convention (e.g., MFA/2FA) lack commun grant offic sponsor depart bill payment activ blackout period the estim hour complet given vendor origin realist time took complet le work origin set therefor scope reduc",inconsitent naming convention eg mfa2fa lack commun grant offic sponsor depart bill payment activ blackout period the estim hour complet given vendor origin realist time took complet le work origin set therefor scope reduc,inconsitent naming convention eg mfafa lack commun grant offic sponsor depart bill payment activ blackout period the estim hour complet given vendor origin realist time took complet le work origin set therefor scope reduc,"[inconsitent, naming, convention, eg, mfafa, lack, commun, grant, offic, sponsor, depart, bill, payment, activ, blackout, period, the, estim, hour, complet, given, vendor, origin, realist, time, took, complet, le, work, origin, set, therefor, scope, reduc]","[inconsitent, naming, convention, eg, mfafa, lack, commun, grant, offic, sponsor, depart, bill, payment, activ, blackout, period, estim, hour, complet, given, vendor, origin, realist, time, took, complet, le, work, origin, set, therefor, scope, reduc]","[eg, mfafa, lack, commun, grant, offic, sponsor, depart, bill, payment, activ, blackout, period, estim, hour, given, vendor, realist, time, took, le]","['eg', 'mama', 'lack', 'common', 'grant', 'office', 'sponsor', 'depart', 'bill', 'payment', 'active', 'blackout', 'period', 'stim', 'hour', 'given', 'vendor', 'realist', 'time', 'took', 'le']","['eg', 'mam', 'lack', 'common', 'grant', 'off', 'spons', 'depart', 'bil', 'pay', 'act', 'blackout', 'period', 'stim', 'hour', 'giv', 'vend', 'real', 'tim', 'took', 'le']",eg mfafa lack commun grant offic sponsor depart bill payment activ blackout period estim hour give vendor realist time take le
11,LinkedIn technical team missed technical/configuration work or did not communicate UNTS team about after go-live user experience there busi process document except one creat registrar team pm assign late execut alreadi start,linkedin technical team missed technicalconfiguration work or did not communicate unts team about after golive user experience there busi process document except one creat registrar team pm assign late execut alreadi start,linkedin technical team missed technicalconfiguration work or did not communicate unts team about after golive user experience there busi process document except one creat registrar team pm assign late execut alreadi start,"[linkedin, technical, team, missed, technicalconfiguration, work, or, did, not, communicate, unts, team, about, after, golive, user, experience, there, busi, process, document, except, one, creat, registrar, team, pm, assign, late, execut, alreadi, start]","[linkedin, technical, team, missed, technicalconfiguration, work, communicate, unts, team, golive, user, experience, busi, process, document, except, one, creat, registrar, team, pm, assign, late, execut, alreadi, start]","[work, communicate, unts, golive, user, experience, busi, process, document, except, one, creat, registrar, pm]","['work', 'communicate', 'units', 'olive', 'user', 'experience', 'busi', 'process', 'document', 'except', 'one', 'great', 'registrar', 'pm']","['work', 'commun', 'unit', 'ol', 'us', 'expery', 'bus', 'process', 'docu', 'exceiv', 'on', 'gre', 'registr', 'pm']",work communicate unt golive user experience busi process document except one creat registrar pm
12,The scope was very broad with no real understanding of how much information was needed datacomm engag earli a key softwar updat push project,the scope was very broad with no real understanding of how much information was needed datacomm engag earli a key softwar updat push project,the scope was very broad with no real understanding of how much information was needed datacomm engag earli a key softwar updat push project,"[the, scope, was, very, broad, with, no, real, understanding, of, how, much, information, was, needed, datacomm, engag, earli, a, key, softwar, updat, push, project]","[scope, broad, real, understanding, much, information, needed, datacomm, engag, earli, key, softwar, updat, push, project]","[information, needed, datacomm, engag, earli]","['information', 'needed', 'datacomm', 'engage', 'early']","['inform', 'nee', 'datacom', 'eng', 'ear']",information need datacomm engag earli
13,ABA routing number actual vendor technic support vendor deliver fulli match it labor requir specifi sow uat effect time short process well defin,aba routing number actual vendor technic support vendor deliver fulli match it labor requir specifi sow uat effect time short process well defin,aba routing number actual vendor technic support vendor deliver fulli match it labor requir specifi sow uat effect time short process well defin,"[aba, routing, number, actual, vendor, technic, support, vendor, deliver, fulli, match, it, labor, requir, specifi, sow, uat, effect, time, short, process, well, defin]","[aba, routing, number, actual, vendor, technic, support, vendor, deliver, fulli, match, labor, requir, specifi, sow, uat, effect, time, short, process, well, defin]","[technic, support, deliver, fulli, match, labor, requir, specifi, sow, uat, effect]","['technic', 'support', 'deliver', 'full', 'match', 'labor', 'require', 'specific', 'sow', 'at', 'effect']","['techn', 'support', 'del', 'ful', 'match', 'lab', 'requir', 'spec', 'sow', 'at', 'effect']",technic support deliver fulli match labor requir specifi sow uat effect
14,"Vendor PM was the point of contact for all communications during testing. We feel that communication related to testing, file exchange, data validation could have been expedited if we could contact with assigned team member on that directly. limit document other depart engag project time greatli slow project",vendor pm was the point of contact for all communications during testing we feel that communication related to testing file exchange data validation could have been expedited if we could contact with assigned team member on that directly limit document other depart engag project time greatli slow project,vendor pm was the point of contact for all communications during testing we feel that communication related to testing file exchange data validation could have been expedited if we could contact with assigned team member on that directly limit document other depart engag project time greatli slow project,"[vendor, pm, was, the, point, of, contact, for, all, communications, during, testing, we, feel, that, communication, related, to, testing, file, exchange, data, validation, could, have, been, expedited, if, we, could, contact, with, assigned, team, member, on, that, directly, limit, document, other, depart, engag, project, time, greatli, slow, project]","[vendor, pm, point, contact, communications, testing, feel, communication, related, testing, file, exchange, data, validation, could, expedited, could, contact, assigned, team, member, directly, limit, document, depart, engag, project, time, greatli, slow, project]","[pm, point, communications, feel, communication, related, file, exchange, data, validation, expedited, assigned, team, member, directly, limit, document]","['pm', 'point', 'communications', 'feel', 'communication', 'related', 'file', 'exchange', 'data', 'validation', 'expedited', 'assigned', 'team', 'member', 'directly', 'limit', 'document']","['pm', 'point', 'commun', 'feel', 'commun', 'rel', 'fil', 'exchang', 'dat', 'valid', 'expedit', 'assign', 'team', 'memb', 'direct', 'limit', 'docu']",pm point communication feel communication relate file exchange datum validation expedite assign team member directly limit document
15,"Lack of understanding of system capabilities and functionalities. 
Needed to have a better understanding of system limitations. vendor initi give u inform may need upfront work call slow process thing may right peopl call may info need track storag costli salesforc",lack of understanding of system capabilities and functionalities  needed to have a better understanding of system limitations vendor initi give u inform may need upfront work call slow process thing may right peopl call may info need track storag costli salesforc,lack of understanding of system capabilities and functionalities  needed to have a better understanding of system limitations vendor initi give u inform may need upfront work call slow process thing may right peopl call may info need track storag costli salesforc,"[lack, of, understanding, of, system, capabilities, and, functionalities,  , needed, to, have, a, better, understanding, of, system, limitations, vendor, initi, give, u, inform, may, need, upfront, work, call, slow, process, thing, may, right, peopl, call, may, info, need, track, storag, costli, salesforc]","[lack, understanding, system, capabilities, functionalities,  , needed, better, understanding, system, limitations, vendor, initi, give, u, inform, may, need, upfront, work, call, slow, process, thing, may, right, peopl, call, may, info, need, track, storag, costli, salesforc]","[lack, capabilities, functionalities,  , needed, better, limitations, vendor, initi, give, u, inform, upfront, work, slow, process, thing, right, peopl]","['lack', 'capabilities', 'functionalities', 'a', 'needed', 'better', 'limitations', 'vendor', 'inti', 'give', 'u', 'inform', 'upfront', 'work', 'slow', 'process', 'thing', 'right', 'people']","['lack', 'cap', 'funct', 'a', 'nee', 'bet', 'limit', 'vend', 'int', 'giv', 'u', 'inform', 'upfront', 'work', 'slow', 'process', 'thing', 'right', 'peopl']",lack capability functionality   need well limitation vendor initi give u inform upfront work slow process thing right peopl
16,Timeline challenges sever chang depart happen project our mock convers util develop resourc built receiv payment interfac user access,timeline challenges sever chang depart happen project our mock convers util develop resourc built receiv payment interfac user access,timeline challenges sever chang depart happen project our mock convers util develop resourc built receiv payment interfac user access,"[timeline, challenges, sever, chang, depart, happen, project, our, mock, convers, util, develop, resourc, built, receiv, payment, interfac, user, access]","[timeline, challenges, sever, chang, depart, happen, project, mock, convers, util, develop, resourc, built, receiv, payment, interfac, user, access]","[happen, project, mock, convers, util, develop, resourc, built]","['happen', 'project', 'mock', 'covers', 'until', 'develop', 'resource', 'built']","['hap', 'project', 'mock', 'cov', 'until', 'develop', 'resourc', 'built']",happen project mock conver util develop resourc build
17,Business need changes/service needs identification broswer test includ test scenario licens issu caus delay system configur,business need changesservice needs identification broswer test includ test scenario licens issu caus delay system configur,business need changesservice needs identification broswer test includ test scenario licens issu caus delay system configur,"[business, need, changesservice, needs, identification, broswer, test, includ, test, scenario, licens, issu, caus, delay, system, configur]","[business, need, changesservice, needs, identification, broswer, test, includ, test, scenario, licens, issu, caus, delay, system, configur]","[identification, broswer, includ, scenario, licens]","['identification', 'browser', 'include', 'scenario', 'license']","['id', 'brows', 'includ', 'scenario', 'licens']",identification broswer includ scenario licen
18,End-user lifecycle management poor commun for exampl technic team member involv pdt discus the resourc thought would project along begin given new resourc,enduser lifecycle management poor commun for exampl technic team member involv pdt discus the resourc thought would project along begin given new resourc,enduser lifecycle management poor commun for exampl technic team member involv pdt discus the resourc thought would project along begin given new resourc,"[enduser, lifecycle, management, poor, commun, for, exampl, technic, team, member, involv, pdt, discus, the, resourc, thought, would, project, along, begin, given, new, resourc]","[enduser, lifecycle, management, poor, commun, exampl, technic, team, member, involv, pdt, discus, resourc, thought, would, project, along, begin, given, new, resourc]","[commun, exampl, technic, team, member, involv, pdt, discus, thought, would]","['common', 'example', 'technic', 'team', 'member', 'involve', 'pdt', 'discus', 'thought', 'would']","['common', 'exampl', 'techn', 'team', 'memb', 'involv', 'pdt', 'disc', 'thought', 'would']",commun exampl technic team member involv pdt discus think would
19,"UNT Security proved to be more difficult than expected, leading to urgent requests and expedited testing onedr polici limit retrofit exist environ",unt security proved to be more difficult than expected leading to urgent requests and expedited testing onedr polici limit retrofit exist environ,unt security proved to be more difficult than expected leading to urgent requests and expedited testing onedr polici limit retrofit exist environ,"[unt, security, proved, to, be, more, difficult, than, expected, leading, to, urgent, requests, and, expedited, testing, onedr, polici, limit, retrofit, exist, environ]","[unt, security, proved, difficult, expected, leading, urgent, requests, expedited, testing, onedr, polici, limit, retrofit, exist, environ]","[leading, urgent, requests, expedited, testing, onedr]","['leading', 'urgent', 'requests', 'expedited', 'testing', 'one']","['lead', 'urg', 'request', 'expedit', 'test', 'on']",lead urgent request expedite testing onedr
20,Triage and training documentation for Tier 1 support addit motio licens expens sponsor chang bpi group shut chang hr leadership project,triage and training documentation for tier 1 support addit motio licens expens sponsor chang bpi group shut chang hr leadership project,triage and training documentation for tier  support addit motio licens expens sponsor chang bpi group shut chang hr leadership project,"[triage, and, training, documentation, for, tier,  , support, addit, motio, licens, expens, sponsor, chang, bpi, group, shut, chang, hr, leadership, project]","[triage, training, documentation, tier,  , support, addit, motio, licens, expens, sponsor, chang, bpi, group, shut, chang, hr, leadership, project]","[ , support, addit, motio, licens, expens, sponsor, bpi]","['a', 'support', 'admit', 'motion', 'license', 'expense', 'sponsor', 'bpi']","['a', 'support', 'admit', 'mot', 'licens', 'expens', 'spons', 'bpi']",  support addit motio licens expens sponsor bpi
21,Whitelisting lost resourc train cogno pinacl integr high cost taken scope,whitelisting lost resourc train cogno pinacl integr high cost taken scope,whitelisting lost resourc train cogno pinacl integr high cost taken scope,"[whitelisting, lost, resourc, train, cogno, pinacl, integr, high, cost, taken, scope]","[whitelisting, lost, resourc, train, cogno, pinacl, integr, high, cost, taken, scope]",[pinacl],['final'],['fin'],pinacl
